Pays,Date,Infections
Austria,05/01/2020,15424
Austria,06/01/2020,16642
Austria,07/01/2020,17777
Austria,08/01/2020,21098
Austria,09/01/2020,27404
Austria,10/01/2020,45753
Austria,11/01/2020,106584
France,05/01/2020,129581
France,06/01/2020,151753
France,07/01/2020,164801
France,08/01/2020,187919
France,09/01/2020,281025
France,10/01/2020,563535
France,11/01/2020,1364625
Germany,05/01/2020,160758
Germany,06/01/2020,181815
Germany,07/01/2020,194725
Germany,08/01/2020,209653
Germany,09/01/2020,243599
Germany,10/01/2020,291722
Germany,11/01/2020,532930
Italy,05/01/2020,205463
Italy,06/01/2020,233019
Italy,07/01/2020,240578
Italy,08/01/2020,247537
Italy,09/01/2020,269214
Italy,10/01/2020,314861
Italy,11/01/2020,679430
Russia,05/01/2020,106498
Russia,06/01/2020,405843
Russia,07/01/2020,647849
Russia,08/01/2020,839981
Russia,09/01/2020,995319
Russia,10/01/2020,1176286
Russia,11/01/2020,1618116
Spain,05/01/2020,216570
Spain,06/01/2020,239638
Spain,07/01/2020,249659
Spain,08/01/2020,288522
Spain,09/01/2020,470973
Spain,10/01/2020,778607
Spain,11/01/2020,1185678
Ukraine,05/01/2020,10406
Ukraine,06/01/2020,23672
Ukraine,07/01/2020,44334
Ukraine,08/01/2020,69884
Ukraine,09/01/2020,121215
Ukraine,10/01/2020,208959
Ukraine,11/01/2020,387481